Time,Acceleration,Roll,battery_voltage,battery_percentage,Pitch
09:54:24,"(0.0, 0.0, 0.9910889)",9.941137,4.561255,89.45872,-4.246247
09:54:25,"(-0.1751709, 0.07580566, 0.9881592)",10.03781,4.546201,87.95336,-4.141716
09:54:26,"(-0.163208, 0.07397461, 0.989624)",9.364879,4.566273,89.96055,-4.210093
09:54:27,"(-0.1723633, 0.07397461, 0.9921875)",9.536855,4.561255,89.45872,-4.20529
09:54:28,"(-0.1689453, 0.07141113, 0.9881592)",9.702037,4.561255,89.45872,-4.30678
09:54:29,"(-0.1690674, 0.07067871, 0.9887695)",9.703034,4.566273,89.96055,-4.030337
09:54:30,"(-0.1732178, 0.08813477, 1.038696)",9.773064,4.566273,89.96055,-6.521955
09:54:31,"(-0.164917, 0.05566406, 0.991333)",9.44516,4.556237,88.95696,-3.50214
09:54:32,"(-0.177002, 0.08605957, 0.9827881)",10.25098,4.561255,89.45872,-4.924954
09:54:33,"(-0.175293, 0.08459473, 0.9855957)",10.04345,4.556237,88.95696,-5.143406
09:54:34,"(-0.1779785, 0.08459473, 0.9868164)",10.22374,4.561255,89.45872,-5.070321
09:54:35,"(-0.1761475, 0.08349609, 0.9824219)",10.16508,4.561255,89.45872,-4.782001
09:54:36,"(-0.1783447, 0.08703613, 0.9890137)",10.27676,4.561255,89.45872,-4.823841
09:54:37,"(-0.1767578, 0.08679199, 0.9881592)",10.12932,4.561255,89.45872,-4.712274
09:54:38,"(-0.1782227, 0.08789063, 0.9910889)",10.19427,4.561255,89.45872,-4.988186
09:54:40,"(-0.1783447, 0.08813477, 0.9880371)",10.09665,4.566273,89.96055,-5.061457
09:54:41,"(-0.1743164, 0.0838623, 0.9842529)",10.04324,4.561255,89.45872,-4.982269
09:54:42,"(-0.1784668, 0.08508301, 0.9969482)",10.14919,4.561255,89.45872,-4.80203
09:54:43,"(-0.1767578, 0.08850098, 0.9844971)",10.17851,4.566273,89.96055,-5.056354
09:54:44,"(-0.1789551, 0.09106445, 0.987915)",10.21198,4.561255,89.45872,-4.849913
09:54:45,"(-0.175415, 0.08813477, 0.989624)",10.10722,4.561255,89.45872,-4.736927
09:54:46,"(-0.177124, 0.08837891, 0.987793)",10.21279,4.561255,89.45872,-4.749315
09:54:47,"(-0.1768799, 0.08837891, 0.9929199)",10.10078,4.561255,89.45872,-4.867064
09:54:48,"(-0.1329346, 0.1000977, 0.8811035)",8.579666,4.561255,89.45872,-6.475534
09:54:49,"(-0.1374512, 0.1422119, 0.9752197)",8.022639,4.561255,89.45872,-8.216619
09:54:50,"(-0.1741943, 0.09033203, 1.019287)",10.03665,4.561255,89.45872,-4.481357
09:54:51,"(-0.1782227, 0.08483887, 0.9753418)",10.5384,4.561255,89.45872,-4.88159
09:54:52,"(-0.2020264, 0.09130859, 1.062866)",10.17736,4.561255,89.45872,-4.096589
09:54:53,"(-0.1812744, 0.0723877, 0.989502)",10.38134,4.566273,89.96055,-4.868057
09:54:54,"(-0.1738281, 0.07104492, 0.9880371)",9.978094,4.566273,89.96055,-4.05078
09:54:55,"(-0.1756592, 0.0715332, 0.9932861)",10.08348,4.566273,89.96055,-3.924649
09:54:57,"(-0.1761475, 0.07202148, 0.9875488)",9.9182,4.566273,89.96055,-3.906682
09:54:58,"(-0.1729736, 0.07165527, 0.9909668)",9.901247,4.566273,89.96055,-3.879447
09:54:59,"(-0.1727295, 0.07141113, 0.9821777)",9.974258,4.566273,89.96055,-3.910279
09:55:00,"(-0.1722412, 0.06896973, 0.9830322)",10.11753,4.566273,89.96055,-4.153203
09:55:01,"(-0.173584, 0.06848145, 0.9874268)",9.99676,4.561255,89.45872,-4.039524
09:55:02,"(-0.1744385, 0.06750488, 0.9880371)",9.994274,4.561255,89.45872,-4.015162
09:55:03,"(-0.1716309, 0.0670166, 0.9899902)",9.835392,4.561255,89.45872,-4.034272
09:55:04,"(-0.1700439, 0.06665039, 0.9888916)",9.756825,4.561255,89.45872,-3.786664
09:55:05,"(-0.1743164, 0.06958008, 0.993042)",9.95614,4.561255,89.45872,-3.947861
09:55:06,"(-0.1738281, 0.07055664, 0.9902344)",9.956396,4.561255,89.45872,-4.0144
09:55:07,"(-0.1743164, 0.07006836, 0.9907227)",10.09553,4.561255,89.45872,-3.970585
09:55:08,"(-0.1739502, 0.07116699, 0.9891357)",9.929659,4.561255,89.45872,-3.877314
09:55:09,"(-0.1733398, 0.07177734, 0.9893799)",9.93739,4.566273,89.96055,-3.837798
09:55:10,"(-0.1781006, 0.0715332, 0.9854736)",10.24425,4.566273,89.96055,-3.751851
09:55:11,"(-0.1727295, 0.06994629, 0.9863281)",9.974401,4.566273,89.96055,-3.904917
09:55:12,"(-0.1732178, 0.06848145, 0.9907227)",9.926416,4.57129,90.46233,-4.00026
09:55:13,"(-0.1730957, 0.06860352, 0.9899902)",9.970099,4.566273,89.96055,-4.021154
09:55:14,"(-0.1730957, 0.06860352, 0.9899902)",9.921273,4.561255,89.45872,-4.016119
09:55:15,"(-0.1740723, 0.06835938, 0.9838867)",10.03312,4.566273,89.96055,-4.001223
09:55:16,"(-0.1726074, 0.06774902, 0.989624)",9.89384,4.566273,89.96055,-3.858254
09:55:17,"(-0.175293, 0.06860352, 0.9829102)",9.835774,4.566273,89.96055,-3.920104
09:55:19,"(-0.1744385, 0.0682373, 0.9840088)",10.05257,4.566273,89.96055,-3.906186
09:55:20,"(-0.1695557, 0.07373047, 0.989624)",10.03781,4.561255,89.45872,-3.925829
09:55:21,"(-0.1744385, 0.07202148, 0.9919434)",9.924531,4.566273,89.96055,-4.064249
09:55:22,"(-0.1727295, 0.07080078, 0.9819336)",10.01963,4.561255,89.45872,-3.869258
09:55:23,"(-0.1730957, 0.07128906, 0.9897461)",9.853296,4.556237,88.95696,-3.811979
09:55:24,"(-0.1740723, 0.06945801, 0.9862061)",10.01,4.561255,89.45872,-3.747174
09:55:25,"(-0.1729736, 0.07006836, 0.993042)",9.880964,4.566273,89.96055,-3.702478
09:55:26,"(-0.175293, 0.06896973, 0.9884033)",10.05682,4.566273,89.96055,-4.003123
09:55:27,"(-0.1728516, 0.07080078, 0.9910889)",9.893203,4.561255,89.45872,-3.863955
09:55:28,"(-0.1710205, 0.06982422, 0.9921875)",9.77981,4.566273,89.96055,-3.970969
09:55:29,"(-0.173584, 0.07080078, 0.9869385)",9.97523,4.566273,89.96055,-4.04142
09:55:30,"(-0.1715088, 0.07263184, 0.9880371)",9.847583,4.566273,89.96055,-3.856704
09:55:31,"(-0.1715088, 0.06738281, 0.991333)",9.81548,4.566273,89.96055,-3.92851
09:55:32,"(-0.1756592, 0.06750488, 1.000488)",9.958121,4.566273,89.96055,-3.849259
09:55:34,"(-0.1710205, 0.06945801, 0.984375)",9.85591,4.566273,89.96055,-3.976754
09:55:35,"(-0.1733398, 0.07348633, 0.9868164)",9.962689,4.566273,89.96055,-4.194856
09:55:36,"(-0.1745605, 0.07324219, 0.9824219)",10.07538,4.57129,90.46233,-4.198151
09:55:37,"(-0.1694336, 0.06738281, 0.9777832)",9.830786,4.566273,89.96055,-3.884532
09:55:38,"(-0.1694336, 0.06555176, 0.9854736)",9.755548,4.566273,89.96055,-3.750723
09:55:39,"(-0.1756592, 0.0670166, 0.9980469)",9.805168,4.57129,90.46233,-3.785566
09:55:40,"(-0.1748047, 0.07177734, 0.9946289)",9.831378,4.57129,90.46233,-4.067181
09:55:41,"(-0.171875, 0.07263184, 0.9875488)",10.30547,4.57129,90.46233,-4.138772
09:55:42,"(-0.171875, 0.07080078, 0.9906006)",10.1171,4.566273,89.96055,-4.024769
